"Points_Y","velocity_X"
0,-0.00940601
0.001,-0.0138799
0.002,-0.0183538
0.003,-0.0228277
0.004,-0.0273015
0.005,-0.0317754
0.006,-0.0362493
0.007,-0.0407232
0.008,-0.0451027
0.009,-0.049196
0.01,-0.0532893
0.011,-0.0573826
0.012,-0.0614759
0.013,-0.0655693
0.014,-0.0696626
0.015,-0.0737559
0.016,-0.0776603
0.017,-0.081373
0.018,-0.0850856
0.019,-0.0887982
0.02,-0.0925108
0.021,-0.0962235
0.022,-0.0999361
0.023,-0.103649
0.024,-0.107085
0.025,-0.110427
0.026,-0.113769
0.027,-0.11711
0.028,-0.120452
0.029,-0.123794
0.03,-0.127135
0.031,-0.130477
0.032,-0.133472
0.033,-0.136465
0.034,-0.139457
0.035,-0.142449
0.036,-0.145442
0.037,-0.148434
0.038,-0.151427
0.039,-0.154343
0.04,-0.157019
0.041,-0.159695
0.042,-0.162371
0.043,-0.165047
0.044,-0.167723
0.045,-0.170399
0.046,-0.173075
0.047,-0.175615
0.048,-0.178014
0.049,-0.180412
0.05,-0.182811
0.051,-0.18521
0.052,-0.187608
0.053,-0.190007
0.054,-0.192405
0.055,-0.19463
0.056,-0.196792
0.057,-0.198954
0.058,-0.201116
0.059,-0.203278
0.06,-0.20544
0.061,-0.207602
0.062,-0.209764
0.063,-0.211731
0.064,-0.213694
0.065,-0.215658
0.066,-0.217622
0.067,-0.219585
0.068,-0.221549
0.069,-0.223512
0.07,-0.225437
0.071,-0.227234
0.072,-0.229031
0.073,-0.230828
0.074,-0.232624
0.075,-0.234421
0.076,-0.236218
0.077,-0.238015
0.078,-0.239743
0.079,-0.241396
0.08,-0.243049
0.081,-0.244703
0.082,-0.246356
0.083,-0.24801
0.084,-0.249663
0.085,-0.251316
0.086,-0.252876
0.087,-0.254402
0.088,-0.255927
0.089,-0.257452
0.09,-0.258978
0.091,-0.260503
0.092,-0.262028
0.093,-0.263553
0.094,-0.264962
0.095,-0.266367
0.096,-0.267772
0.097,-0.269177
0.098,-0.270583
0.099,-0.271988
0.1,-0.273393
0.101,-0.274772
0.102,-0.276059
0.103,-0.277346
0.104,-0.278634
0.105,-0.279921
0.106,-0.281208
0.107,-0.282495
0.108,-0.283782
0.109,-0.285013
0.11,-0.28618
0.111,-0.287347
0.112,-0.288514
0.113,-0.28968
0.114,-0.290847
0.115,-0.292014
0.116,-0.293181
0.117,-0.294258
0.118,-0.2953
0.119,-0.296342
0.12,-0.297384
0.121,-0.298426
0.122,-0.299467
0.123,-0.300509
0.124,-0.301551
0.125,-0.302466
0.126,-0.303377
0.127,-0.304288
0.128,-0.305198
0.129,-0.306109
0.13,-0.30702
0.131,-0.307931
0.132,-0.308812
0.133,-0.309586
0.134,-0.31036
0.135,-0.311133
0.136,-0.311907
0.137,-0.312681
0.138,-0.313455
0.139,-0.314229
0.14,-0.314936
0.141,-0.315568
0.142,-0.3162
0.143,-0.316832
0.144,-0.317463
0.145,-0.318095
0.146,-0.318727
0.147,-0.319359
0.148,-0.319886
0.149,-0.320372
0.15,-0.320858
0.151,-0.321344
0.152,-0.321829
0.153,-0.322315
0.154,-0.322801
0.155,-0.323287
0.156,-0.32363
0.157,-0.323967
0.158,-0.324305
0.159,-0.324642
0.16,-0.32498
0.161,-0.325317
0.162,-0.325655
0.163,-0.325961
0.164,-0.32615
0.165,-0.326338
0.166,-0.326527
0.167,-0.326716
0.168,-0.326905
0.169,-0.327093
0.17,-0.327282
0.171,-0.327403
0.172,-0.327445
0.173,-0.327486
0.174,-0.327527
0.175,-0.327569
0.176,-0.32761
0.177,-0.327651
0.178,-0.327693
0.179,-0.327632
0.18,-0.32753
0.181,-0.327427
0.182,-0.327324
0.183,-0.327221
0.184,-0.327118
0.185,-0.327016
0.186,-0.326913
0.187,-0.326677
0.188,-0.326436
0.189,-0.326194
0.19,-0.325952
0.191,-0.32571
0.192,-0.325468
0.193,-0.325226
0.194,-0.324958
0.195,-0.324583
0.196,-0.324209
0.197,-0.323835
0.198,-0.323461
0.199,-0.323087
0.2,-0.322713
0.201,-0.322338
0.202,-0.321909
0.203,-0.32141
0.204,-0.320912
0.205,-0.320414
0.206,-0.319916
0.207,-0.319418
0.208,-0.31892
0.209,-0.318422
0.21,-0.317844
0.211,-0.317231
0.212,-0.316619
0.213,-0.316006
0.214,-0.315394
0.215,-0.314781
0.216,-0.314169
0.217,-0.313556
0.218,-0.312846
0.219,-0.31213
0.22,-0.311414
0.221,-0.310698
0.222,-0.309982
0.223,-0.309267
0.224,-0.308551
0.225,-0.307817
0.226,-0.307009
0.227,-0.306202
0.228,-0.305394
0.229,-0.304586
0.23,-0.303778
0.231,-0.302971
0.232,-0.302163
0.233,-0.30132
0.234,-0.300433
0.235,-0.299545
0.236,-0.298658
0.237,-0.297771
0.238,-0.296884
0.239,-0.295996
0.24,-0.295109
0.241,-0.294176
0.242,-0.293222
0.243,-0.292267
0.244,-0.291313
0.245,-0.290359
0.246,-0.289405
0.247,-0.28845
0.248,-0.287496
0.249,-0.286491
0.25,-0.285482
0.251,-0.284474
0.252,-0.283465
0.253,-0.282457
0.254,-0.281448
0.255,-0.28044
0.256,-0.279423
0.257,-0.278372
0.258,-0.277322
0.259,-0.276271
0.26,-0.27522
0.261,-0.274169
0.262,-0.273118
0.263,-0.272068
0.264,-0.271004
0.265,-0.269922
0.266,-0.268841
0.267,-0.26776
0.268,-0.266679
0.269,-0.265597
0.27,-0.264516
0.271,-0.263435
0.272,-0.26234
0.273,-0.261239
0.274,-0.260138
0.275,-0.259037
0.276,-0.257937
0.277,-0.256836
0.278,-0.255735
0.279,-0.254634
0.28,-0.253524
0.281,-0.252413
0.282,-0.251302
0.283,-0.250192
0.284,-0.249081
0.285,-0.24797
0.286,-0.24686
0.287,-0.245749
0.288,-0.244637
0.289,-0.243525
0.29,-0.242413
0.291,-0.241301
0.292,-0.24019
0.293,-0.239078
0.294,-0.237966
0.295,-0.236857
0.296,-0.235751
0.297,-0.234645
0.298,-0.23354
0.299,-0.232434
0.3,-0.231328
0.301,-0.230223
0.302,-0.229117
0.303,-0.22802
0.304,-0.226926
0.305,-0.225833
0.306,-0.224739
0.307,-0.223646
0.308,-0.222552
0.309,-0.221459
0.31,-0.220365
0.311,-0.219288
0.312,-0.218211
0.313,-0.217135
0.314,-0.216058
0.315,-0.214982
0.316,-0.213905
0.317,-0.212829
0.318,-0.211755
0.319,-0.210699
0.32,-0.209643
0.321,-0.208587
0.322,-0.207531
0.323,-0.206475
0.324,-0.205418
0.325,-0.204362
0.326,-0.203315
0.327,-0.202282
0.328,-0.201248
0.329,-0.200215
0.33,-0.199181
0.331,-0.198147
0.332,-0.197114
0.333,-0.19608
0.334,-0.195062
0.335,-0.194052
0.336,-0.193042
0.337,-0.192032
0.338,-0.191022
0.339,-0.190012
0.34,-0.189002
0.341,-0.187992
0.342,-0.187004
0.343,-0.186018
0.344,-0.185032
0.345,-0.184046
0.346,-0.18306
0.347,-0.182074
0.348,-0.181088
0.349,-0.180106
0.35,-0.179143
0.351,-0.17818
0.352,-0.177217
0.353,-0.176255
0.354,-0.175292
0.355,-0.174329
0.356,-0.173366
0.357,-0.172413
0.358,-0.171472
0.359,-0.170532
0.36,-0.169591
0.361,-0.168651
0.362,-0.16771
0.363,-0.16677
0.364,-0.165829
0.365,-0.164902
0.366,-0.163982
0.367,-0.163062
0.368,-0.162143
0.369,-0.161223
0.37,-0.160303
0.371,-0.159383
0.372,-0.158463
0.373,-0.15756
0.374,-0.156658
0.375,-0.155757
0.376,-0.154856
0.377,-0.153954
0.378,-0.153053
0.379,-0.152152
0.38,-0.151253
0.381,-0.150368
0.382,-0.149483
0.383,-0.148598
0.384,-0.147713
0.385,-0.146829
0.386,-0.145944
0.387,-0.145059
0.388,-0.14418
0.389,-0.143309
0.39,-0.142438
0.391,-0.141568
0.392,-0.140697
0.393,-0.139827
0.394,-0.138956
0.395,-0.138085
0.396,-0.137222
0.397,-0.136364
0.398,-0.135505
0.399,-0.134646
0.4,-0.133788
0.401,-0.132929
0.402,-0.13207
0.403,-0.131212
0.404,-0.130362
0.405,-0.129513
0.406,-0.128664
0.407,-0.127816
0.408,-0.126967
0.409,-0.126118
0.41,-0.125269
0.411,-0.124422
0.412,-0.123581
0.413,-0.12274
0.414,-0.121899
0.415,-0.121059
0.416,-0.120218
0.417,-0.119377
0.418,-0.118536
0.419,-0.117698
0.42,-0.116864
0.421,-0.116029
0.422,-0.115194
0.423,-0.11436
0.424,-0.113525
0.425,-0.112691
0.426,-0.111856
0.427,-0.111024
0.428,-0.110194
0.429,-0.109364
0.43,-0.108534
0.431,-0.107704
0.432,-0.106874
0.433,-0.106044
0.434,-0.105214
0.435,-0.104386
0.436,-0.103559
0.437,-0.102732
0.438,-0.101905
0.439,-0.101078
0.44,-0.100251
0.441,-0.0994242
0.442,-0.0985974
0.443,-0.097772
0.444,-0.0969467
0.445,-0.0961214
0.446,-0.095296
0.447,-0.0944707
0.448,-0.0936454
0.449,-0.09282
0.45,-0.091995
0.451,-0.0911702
0.452,-0.0903456
0.453,-0.0895209
0.454,-0.0886962
0.455,-0.0878715
0.456,-0.0870468
0.457,-0.0862221
0.458,-0.0853972
0.459,-0.0845722
0.46,-0.0837472
0.461,-0.0829223
0.462,-0.0820973
0.463,-0.0812723
0.464,-0.0804473
0.465,-0.0796223
0.466,-0.0787964
0.467,-0.0779703
0.468,-0.0771442
0.469,-0.0763181
0.47,-0.075492
0.471,-0.074666
0.472,-0.0738399
0.473,-0.0730136
0.474,-0.0721857
0.475,-0.0713579
0.476,-0.0705301
0.477,-0.0697023
0.478,-0.0688745
0.479,-0.0680467
0.48,-0.0672189
0.481,-0.0663902
0.482,-0.0655601
0.483,-0.0647299
0.484,-0.0638998
0.485,-0.0630697
0.486,-0.0622396
0.487,-0.0614095
0.488,-0.0605793
0.489,-0.0597475
0.49,-0.0589146
0.491,-0.0580817
0.492,-0.0572488
0.493,-0.0564159
0.494,-0.055583
0.495,-0.0547501
0.496,-0.0539173
0.497,-0.0530816
0.498,-0.0522456
0.499,-0.0514095
0.5,-0.0505735
0.501,-0.0497374
0.502,-0.0489014
0.503,-0.0480653
0.504,-0.0472289
0.505,-0.0463894
0.506,-0.0455499
0.507,-0.0447103
0.508,-0.0438708
0.509,-0.0430313
0.51,-0.0421918
0.511,-0.0413523
0.512,-0.0405114
0.513,-0.0396682
0.514,-0.0388249
0.515,-0.0379817
0.516,-0.0371385
0.517,-0.0362952
0.518,-0.035452
0.519,-0.0346088
0.52,-0.0337632
0.521,-0.032916
0.522,-0.0320689
0.523,-0.0312218
0.524,-0.0303747
0.525,-0.0295276
0.526,-0.0286805
0.527,-0.0278334
0.528,-0.0269828
0.529,-0.0261316
0.53,-0.0252804
0.531,-0.0244292
0.532,-0.0235781
0.533,-0.0227269
0.534,-0.0218758
0.535,-0.0210241
0.536,-0.0201686
0.537,-0.0193132
0.538,-0.0184578
0.539,-0.0176024
0.54,-0.0167469
0.541,-0.0158915
0.542,-0.0150361
0.543,-0.014179
0.544,-0.0133191
0.545,-0.0124592
0.546,-0.0115993
0.547,-0.0107394
0.548,-0.00987949
0.549,-0.00901954
0.55,-0.00815965
0.551,-0.0072969
0.552,-0.00643234
0.553,-0.00556778
0.554,-0.00470317
0.555,-0.00383862
0.556,-0.00297406
0.557,-0.0021095
0.558,-0.0012449
0.559,-0.000376247
0.56,0.000493066
0.561,0.00136238
0.562,0.00223169
0.563,0.00310106
0.564,0.00397037
0.565,0.00483968
0.566,0.00570951
0.567,0.00658354
0.568,0.00745763
0.569,0.00833167
0.57,0.00920571
0.571,0.0100797
0.572,0.0109538
0.573,0.0118279
0.574,0.0127037
0.575,0.0135829
0.576,0.014462
0.577,0.0153412
0.578,0.0162204
0.579,0.0170995
0.58,0.0179787
0.581,0.0188578
0.582,0.0197404
0.583,0.0206251
0.584,0.0215098
0.585,0.0223946
0.586,0.0232793
0.587,0.0241641
0.588,0.0250488
