"Points_Y","velocity_X"
0,-0.00220006
0.001,-0.00662485
0.002,-0.0110452
0.003,-0.0153819
0.004,-0.0197099
0.005,-0.0239602
0.006,-0.0281976
0.007,-0.0323626
0.008,-0.0365107
0.009,-0.0405918
0.01,-0.0446519
0.011,-0.0486501
0.012,-0.0526234
0.013,-0.0565399
0.014,-0.0604277
0.015,-0.0642635
0.016,-0.0680671
0.017,-0.0718235
0.018,-0.0755442
0.019,-0.0792223
0.02,-0.0828615
0.021,-0.0864628
0.022,-0.0900221
0.023,-0.093548
0.024,-0.0970289
0.025,-0.100481
0.026,-0.103885
0.027,-0.107266
0.028,-0.110596
0.029,-0.113906
0.03,-0.117164
0.031,-0.120405
0.032,-0.123593
0.033,-0.126769
0.034,-0.129889
0.035,-0.133001
0.036,-0.136056
0.037,-0.139106
0.038,-0.142099
0.039,-0.145089
0.04,-0.148023
0.041,-0.150954
0.042,-0.153834
0.043,-0.156708
0.044,-0.159537
0.045,-0.162357
0.046,-0.165136
0.047,-0.167905
0.048,-0.170637
0.049,-0.173358
0.05,-0.176046
0.051,-0.178721
0.052,-0.181368
0.053,-0.184
0.054,-0.186607
0.055,-0.189198
0.056,-0.191768
0.057,-0.194321
0.058,-0.196855
0.059,-0.199372
0.06,-0.201873
0.061,-0.204356
0.062,-0.206825
0.063,-0.209276
0.064,-0.211716
0.065,-0.214136
0.066,-0.216547
0.067,-0.218938
0.068,-0.221321
0.069,-0.223685
0.07,-0.226042
0.071,-0.228378
0.072,-0.23071
0.073,-0.23302
0.074,-0.235327
0.075,-0.237612
0.076,-0.239895
0.077,-0.242154
0.078,-0.244412
0.079,-0.246647
0.08,-0.24888
0.081,-0.251091
0.082,-0.253299
0.083,-0.255486
0.084,-0.257668
0.085,-0.259831
0.086,-0.261987
0.087,-0.264124
0.088,-0.266254
0.089,-0.268365
0.09,-0.270467
0.091,-0.272552
0.092,-0.274626
0.093,-0.276683
0.094,-0.278727
0.095,-0.280756
0.096,-0.282769
0.097,-0.284768
0.098,-0.28675
0.099,-0.288718
0.1,-0.290667
0.101,-0.292602
0.102,-0.294516
0.103,-0.296418
0.104,-0.298296
0.105,-0.300162
0.106,-0.302003
0.107,-0.303833
0.108,-0.305634
0.109,-0.307427
0.11,-0.309187
0.111,-0.310941
0.112,-0.312659
0.113,-0.314372
0.114,-0.316045
0.115,-0.317716
0.116,-0.319344
0.117,-0.32097
0.118,-0.322552
0.119,-0.324131
0.12,-0.325667
0.121,-0.327197
0.122,-0.328685
0.123,-0.330165
0.124,-0.331605
0.125,-0.333032
0.126,-0.334422
0.127,-0.335797
0.128,-0.337136
0.129,-0.338457
0.13,-0.339743
0.131,-0.341009
0.132,-0.342242
0.133,-0.34345
0.134,-0.344629
0.135,-0.34578
0.136,-0.346903
0.137,-0.347995
0.138,-0.349063
0.139,-0.350096
0.14,-0.351106
0.141,-0.352079
0.142,-0.353031
0.143,-0.353943
0.144,-0.354838
0.145,-0.355688
0.146,-0.356524
0.147,-0.357312
0.148,-0.358089
0.149,-0.358815
0.15,-0.359531
0.151,-0.360195
0.152,-0.360852
0.153,-0.361453
0.154,-0.36205
0.155,-0.362587
0.156,-0.363121
0.157,-0.363599
0.158,-0.36407
0.159,-0.364488
0.16,-0.364896
0.161,-0.365254
0.162,-0.3656
0.163,-0.365899
0.164,-0.366182
0.165,-0.366421
0.166,-0.366643
0.167,-0.366823
0.168,-0.366983
0.169,-0.367106
0.17,-0.367206
0.171,-0.367271
0.172,-0.36731
0.173,-0.367318
0.174,-0.367297
0.175,-0.36725
0.176,-0.367171
0.177,-0.367068
0.178,-0.366932
0.179,-0.366774
0.18,-0.366581
0.181,-0.36637
0.182,-0.366122
0.183,-0.36586
0.184,-0.365557
0.185,-0.365243
0.186,-0.364887
0.187,-0.364523
0.188,-0.364115
0.189,-0.363702
0.19,-0.363245
0.191,-0.362784
0.192,-0.362278
0.193,-0.361769
0.194,-0.361217
0.195,-0.360661
0.196,-0.360065
0.197,-0.359464
0.198,-0.358825
0.199,-0.358179
0.2,-0.357501
0.201,-0.356813
0.202,-0.356094
0.203,-0.355365
0.204,-0.354609
0.205,-0.353841
0.206,-0.353048
0.207,-0.352243
0.208,-0.351415
0.209,-0.350574
0.21,-0.349714
0.211,-0.348838
0.212,-0.347946
0.213,-0.347038
0.214,-0.346116
0.215,-0.345177
0.216,-0.344226
0.217,-0.343258
0.218,-0.342281
0.219,-0.341286
0.22,-0.340283
0.221,-0.339262
0.222,-0.338235
0.223,-0.337191
0.224,-0.336141
0.225,-0.335074
0.226,-0.334004
0.227,-0.332916
0.228,-0.331827
0.229,-0.33072
0.23,-0.329612
0.231,-0.328489
0.232,-0.327364
0.233,-0.326225
0.234,-0.325084
0.235,-0.323931
0.236,-0.322776
0.237,-0.321611
0.238,-0.320443
0.239,-0.319266
0.24,-0.318087
0.241,-0.316901
0.242,-0.315712
0.243,-0.314516
0.244,-0.313319
0.245,-0.312116
0.246,-0.310911
0.247,-0.309702
0.248,-0.30849
0.249,-0.307276
0.25,-0.306059
0.251,-0.304841
0.252,-0.30362
0.253,-0.302398
0.254,-0.301175
0.255,-0.299951
0.256,-0.298726
0.257,-0.297501
0.258,-0.296275
0.259,-0.295049
0.26,-0.293823
0.261,-0.292598
0.262,-0.291373
0.263,-0.290148
0.264,-0.288925
0.265,-0.287702
0.266,-0.286482
0.267,-0.285261
0.268,-0.284044
0.269,-0.282826
0.27,-0.281613
0.271,-0.280399
0.272,-0.27919
0.273,-0.277981
0.274,-0.276776
0.275,-0.275572
0.276,-0.274372
0.277,-0.273174
0.278,-0.27198
0.279,-0.270787
0.28,-0.269599
0.281,-0.268412
0.282,-0.267231
0.283,-0.266051
0.284,-0.264876
0.285,-0.263703
0.286,-0.262535
0.287,-0.261369
0.288,-0.260208
0.289,-0.25905
0.29,-0.257895
0.291,-0.256745
0.292,-0.255598
0.293,-0.254456
0.294,-0.253316
0.295,-0.252182
0.296,-0.25105
0.297,-0.249923
0.298,-0.248799
0.299,-0.247681
0.3,-0.246564
0.301,-0.245453
0.302,-0.244344
0.303,-0.243242
0.304,-0.242141
0.305,-0.241046
0.306,-0.239953
0.307,-0.238867
0.308,-0.237781
0.309,-0.236702
0.31,-0.235624
0.311,-0.234553
0.312,-0.233483
0.313,-0.232419
0.314,-0.231357
0.315,-0.230301
0.316,-0.229246
0.317,-0.228197
0.318,-0.227149
0.319,-0.226107
0.32,-0.225066
0.321,-0.224031
0.322,-0.222998
0.323,-0.221969
0.324,-0.220943
0.325,-0.21992
0.326,-0.218901
0.327,-0.217885
0.328,-0.216872
0.329,-0.215862
0.33,-0.214855
0.331,-0.213851
0.332,-0.212851
0.333,-0.211853
0.334,-0.210858
0.335,-0.209865
0.336,-0.208876
0.337,-0.207889
0.338,-0.206905
0.339,-0.205923
0.34,-0.204945
0.341,-0.203967
0.342,-0.202994
0.343,-0.202021
0.344,-0.201053
0.345,-0.200085
0.346,-0.199121
0.347,-0.198157
0.348,-0.197198
0.349,-0.196238
0.35,-0.195283
0.351,-0.194327
0.352,-0.193376
0.353,-0.192424
0.354,-0.191476
0.355,-0.190528
