# Frequency	Magnitude
0	2.86297e-17
0.00488281	0.000127256
0.00976563	6.24211e-05
0.0146484	5.44162e-05
0.0195313	4.97526e-05
0.0244141	3.31079e-05
0.0292969	2.46146e-05
0.0341797	2.71227e-05
0.0390625	2.39439e-05
0.0439453	1.65411e-05
0.0488281	1.59834e-05
0.0537109	1.80211e-05
0.0585938	1.50465e-05
0.0634766	1.11954e-05
0.0683594	1.27764e-05
0.0732422	1.36594e-05
0.078125	1.07737e-05
0.0830078	9.2723e-06
0.0878906	1.12553e-05
0.0927734	1.08378e-05
0.0976563	8.0081e-06
0.102539	7.9436e-06
0.107422	8.42871e-06
0.112305	6.16327e-06
0.117188	3.95051e-06
0.12207	4.82022e-06
0.126953	5.47437e-06
0.131836	4.25129e-06
0.136719	3.20781e-06
0.141602	4.50054e-06
0.146484	4.92836e-06
0.151367	3.63093e-06
0.15625	3.21967e-06
0.161133	4.43819e-06
0.166016	4.36071e-06
0.170898	3.06681e-06
0.175781	3.28717e-06
0.180664	4.24281e-06
0.185547	3.73959e-06
0.19043	2.67791e-06
0.195313	3.35151e-06
0.200195	3.93921e-06
0.205078	3.14121e-06
0.209961	2.49931e-06
0.214844	3.36506e-06
0.219727	3.55814e-06
0.224609	2.62291e-06
0.229492	2.48147e-06
0.234375	3.30333e-06
0.239258	3.1342e-06
0.244141	2.23808e-06
0.249023	2.54261e-06
0.253906	3.16375e-06
0.258789	2.70182e-06
0.263672	2.01832e-06
0.268555	2.60917e-06
0.273438	2.95217e-06
0.27832	2.29618e-06
0.283203	1.95494e-06
0.288086	2.63566e-06
0.292969	2.68334e-06
0.297852	1.95716e-06
0.302734	1.99616e-06
0.307617	2.60083e-06
0.3125	2.37857e-06
0.317383	1.7236e-06
0.322266	2.07662e-06
0.327148	2.49959e-06
0.332031	2.06469e-06
0.336914	1.61656e-06
0.341797	2.14539e-06
0.34668	2.3375e-06
0.351563	1.77387e-06
0.356445	1.62032e-06
0.361328	2.17238e-06
0.366211	2.1276e-06
0.371094	1.54207e-06
0.375977	1.68852e-06
0.380859	2.144e-06
0.385742	1.88887e-06
0.390625	1.40125e-06
0.395508	1.77139e-06
0.400391	2.05821e-06
0.405273	1.64579e-06
0.410156	1.36195e-06
0.415039	1.83301e-06
0.419922	1.92111e-06
0.424805	1.428e-06
0.429688	1.40191e-06
0.43457	1.85295e-06
0.439453	1.74505e-06
0.444336	1.26759e-06
0.449219	1.47969e-06
0.454102	1.82278e-06
0.458984	1.54783e-06
0.463867	1.18885e-06
0.46875	1.5569e-06
0.473633	1.74274e-06
0.478516	1.3525e-06
0.483398	1.19215e-06
0.488281	1.60766e-06
0.493164	1.61956e-06
0.498047	1.18675e-06
0.50293	1.251e-06
0.507813	1.61798e-06
0.512695	1.46542e-06
0.517578	1.07849e-06
0.522461	1.32925e-06
0.527344	1.58297e-06
0.532227	1.29752e-06
0.537109	1.04374e-06
0.541992	1.39723e-06
0.546875	1.50455e-06
0.551758	1.13802e-06
0.556641	1.07412e-06
0.561523	1.43607e-06
0.566406	1.3901e-06
0.571289	1.01278e-06
0.576172	1.14155e-06
0.581055	1.4363e-06
0.585938	1.25188e-06
0.59082	9.44929e-07
0.595703	1.21537e-06
0.600586	1.39555e-06
0.605469	1.10689e-06
0.610352	9.42047e-07
0.615234	1.27266e-06
0.620117	1.31709e-06
0.625	9.76677e-07
0.629883	9.8913e-07
0.634766	1.29968e-06
0.639648	1.20894e-06
0.644531	8.84997e-07
0.649414	1.05874e-06
0.654297	1.2902e-06
0.65918	1.08361e-06
0.664063	8.49392e-07
0.668945	1.12545e-06
0.673828	1.24379e-06
0.678711	9.58087e-07
0.683594	8.69429e-07
0.688477	1.17165e-06
0.693359	1.16482e-06
0.698242	8.53368e-07
0.703125	9.2592e-07
0.708008	1.18743e-06
0.712891	1.06194e-06
0.717773	7.90499e-07
0.722656	9.93609e-07
0.727539	1.169e-06
0.732422	9.48016e-07
0.737305	7.80717e-07
0.742188	1.05179e-06
0.74707	1.11745e-06
0.751953	8.40189e-07
0.756836	8.16684e-07
0.761719	1.08706e-06
0.766602	1.0381e-06
0.771484	7.58616e-07
0.776367	8.77364e-07
0.78125	1.09239e-06
0.786133	9.4023e-07
0.791016	7.20808e-07
0.795898	9.40506e-07
0.800781	1.06589e-06
0.805664	8.37178e-07
0.810547	7.3135e-07
0.81543	9.89515e-07
0.820313	1.00992e-06
0.825195	7.46186e-07
0.830078	7.77668e-07
0.834961	1.01426e-06
0.839844	9.30659e-07
0.844727	6.86089e-07
0.849609	8.38785e-07
0.854492	1.01e-06
0.859375	8.38034e-07
0.864258	6.69938e-07
0.869141	8.95728e-07
0.874023	9.76386e-07
0.878906	7.45883e-07
0.883789	6.95916e-07
0.888672	9.35357e-07
0.893555	9.16838e-07
0.898438	6.71375e-07
0.90332	7.48154e-07
0.908203	9.50152e-07
0.913086	8.38335e-07
0.917969	6.31278e-07
0.922852	8.07042e-07
0.927734	9.37197e-07
0.932617	7.51489e-07
0.9375	6.33428e-07
0.942383	8.56785e-07
0.947266	8.97419e-07
0.952148	6.70616e-07
0.957031	6.70497e-07
0.961914	8.8711e-07
0.966797	8.35189e-07
0.97168	6.12435e-07
0.976563	7.25177e-07
0.981445	8.92601e-07
0.986328	7.58267e-07
0.991211	5.90738e-07
0.996094	7.79968e-07
1.00098	8.71842e-07
1.00586	6.77957e-07
1.01074	6.07805e-07
1.01563	8.21957e-07
1.02051	8.26858e-07
1.02539	6.08932e-07
1.03027	6.52186e-07
1.03516	8.43235e-07
1.04004	7.62896e-07
1.04492	5.66874e-07
1.0498	7.06638e-07
1.05469	8.40112e-07
1.05957	6.88489e-07
1.06445	5.61686e-07
1.06934	7.56055e-07
1.07422	8.12433e-07
1.0791	6.15618e-07
1.08398	5.90324e-07
1.08887	7.90042e-07
1.09375	7.63203e-07
1.09863	5.59061e-07
1.10352	6.3882e-07
1.1084	8.02644e-07
1.11328	6.985e-07
1.11816	5.3267e-07
1.12305	6.91032e-07
1.12793	7.91617e-07
1.13281	6.27637e-07
1.1377	5.41765e-07
1.14258	7.34235e-07
1.14746	7.579e-07
1.15234	5.63201e-07
1.15723	5.78799e-07
1.16211	7.60183e-07
1.16699	7.05392e-07
1.17188	5.19638e-07
1.17676	6.28791e-07
1.18164	7.64561e-07
1.18652	6.4099e-07
1.19141	5.08065e-07
1.19629	6.7728e-07
1.20117	7.46355e-07
1.20605	5.74781e-07
1.21094	5.28961e-07
1.21582	7.13745e-07
1.2207	7.0748e-07
1.22559	5.19793e-07
1.23047	5.71504e-07
1.23535	7.31771e-07
1.24023	6.52685e-07
1.24512	4.89508e-07
1.25	6.209e-07
1.25488	7.2843e-07
1.25977	5.89681e-07
1.26465	4.91452e-07
1.26953	6.64597e-07
1.27441	7.03783e-07
1.2793	5.29295e-07
1.28418	5.21555e-07
1.28906	6.94041e-07
1.29395	6.60643e-07
1.29883	4.847e-07
1.30371	5.67091e-07
1.30859	7.04371e-07
1.31348	6.04584e-07
1.31836	4.67598e-07
1.32324	6.14261e-07
1.32813	6.93857e-07
1.33301	5.44135e-07
1.33789	4.81337e-07
1.34277	6.52422e-07
1.34766	6.63524e-07
1.35254	4.90768e-07
1.35742	5.18103e-07
1.3623	6.74734e-07
1.36719	6.17033e-07
1.37207	4.5732e-07
1.37695	5.64517e-07
1.38184	6.77677e-07
1.38672	5.60779e-07
1.3916	4.52841e-07
1.39648	6.08217e-07
1.40137	6.60572e-07
1.40625	5.04098e-07
1.41113	4.76352e-07
1.41602	6.40347e-07
