# Time	Value
50.2	-0.0325851
50.4	-0.0314072
50.6	-0.0301935
50.8	-0.0289547
51	-0.0277011
51.2	-0.0264426
51.4	-0.025189
51.6	-0.0239492
51.8	-0.0227323
52	-0.0215461
52.2	-0.0203987
52.4	-0.0192975
52.6	-0.018249
52.8	-0.0172601
53	-0.0163371
53.2	-0.015486
53.4	-0.0147124
53.6	-0.0140218
53.8	-0.0134193
54	-0.0129092
54.2	-0.0124959
54.4	-0.0121836
54.6	-0.0119752
54.8	-0.0118732
55	-0.0118797
55.2	-0.0119954
55.4	-0.0122203
55.6	-0.0125533
55.8	-0.0129921
56	-0.0135336
56.2	-0.0141725
56.4	-0.0149026
56.6	-0.0157172
56.8	-0.0166085
57	-0.0175656
57.2	-0.0185784
57.4	-0.0196357
57.6	-0.0207249
57.8	-0.021834
58	-0.02295
58.2	-0.024059
58.4	-0.0251477
58.6	-0.0262031
58.8	-0.0272128
59	-0.0281648
59.2	-0.0290476
59.4	-0.0298513
59.6	-0.0305659
59.8	-0.031184
60	-0.0316996
60.2	-0.0321074
60.4	-0.0324042
60.6	-0.0325884
60.8	-0.0326597
61	-0.0326196
61.2	-0.0324713
61.4	-0.032219
61.6	-0.0318684
61.8	-0.0314265
62	-0.0309008
62.2	-0.0302996
62.4	-0.0296322
62.6	-0.028908
62.8	-0.0281363
63	-0.0273265
63.2	-0.026488
63.4	-0.0256296
63.6	-0.02476
63.8	-0.023887
64	-0.0230182
64.2	-0.0221604
64.4	-0.0213197
64.6	-0.0205022
64.8	-0.0197128
65	-0.0189566
65.2	-0.0182381
65.4	-0.0175617
65.6	-0.0169312
65.8	-0.0163509
66	-0.0158244
66.2	-0.0153553
66.4	-0.0149472
66.6	-0.0146034
66.8	-0.0143273
67	-0.0141217
67.2	-0.0139892
67.4	-0.0139321
67.6	-0.013952
67.8	-0.0140495
68	-0.014225
68.2	-0.0144778
68.4	-0.0148058
68.6	-0.0152061
68.8	-0.0156752
69	-0.016208
69.2	-0.0167986
69.4	-0.01744
69.6	-0.018124
69.8	-0.0188422
70	-0.0195857
70.2	-0.0203446
70.4	-0.0211083
70.6	-0.0218665
70.8	-0.0226089
71	-0.0233253
71.2	-0.0240063
71.4	-0.0246429
71.6	-0.025227
71.8	-0.0257508
72	-0.0262081
72.2	-0.0265929
72.4	-0.0269016
72.6	-0.0271315
72.8	-0.0272811
73	-0.0273499
73.2	-0.0273389
73.4	-0.0272505
73.6	-0.0270881
73.8	-0.026856
74	-0.0265592
74.2	-0.026204
74.4	-0.0257969
74.6	-0.0253448
74.8	-0.0248549
75	-0.0243344
75.2	-0.0237905
75.4	-0.0232303
75.6	-0.0226606
75.8	-0.0220878
76	-0.0215177
76.2	-0.0209556
76.4	-0.0204066
76.6	-0.0198749
76.8	-0.0193644
77	-0.0188787
77.2	-0.0184206
77.4	-0.0179931
77.6	-0.0175986
77.8	-0.0172396
78	-0.0169181
78.2	-0.0166359
78.4	-0.0163947
78.6	-0.0161962
78.8	-0.016042
79	-0.0159339
79.2	-0.0158731
79.4	-0.0158605
79.6	-0.0158968
79.8	-0.0159821
80	-0.0161166
80.2	-0.0162997
80.4	-0.0165298
80.6	-0.016805
80.8	-0.0171225
81	-0.0174792
81.2	-0.0178713
81.4	-0.0182944
81.6	-0.0187434
81.8	-0.0192121
82	-0.0196942
82.2	-0.0201833
82.4	-0.0206726
82.6	-0.0211553
82.8	-0.0216245
83	-0.0220736
83.2	-0.0224959
83.4	-0.0228855
83.6	-0.0232375
83.8	-0.023547
84	-0.0238102
84.2	-0.0240238
84.4	-0.0241854
84.6	-0.0242933
84.8	-0.024347
85	-0.024347
85.2	-0.0242948
85.4	-0.0241923
85.6	-0.0240422
85.8	-0.023848
86	-0.0236135
86.2	-0.0233433
86.4	-0.0230422
86.6	-0.0227155
86.8	-0.0223682
87	-0.0220055
87.2	-0.0216325
87.4	-0.0212541
87.6	-0.0208751
87.8	-0.0204996
88	-0.0201317
88.2	-0.0197752
88.4	-0.0194332
88.6	-0.0191088
88.8	-0.0188042
89	-0.0185217
89.2	-0.0182631
89.4	-0.0180299
89.6	-0.0178235
89.8	-0.0176451
90	-0.0174956
90.2	-0.0173759
90.4	-0.0172867
90.6	-0.0172282
90.8	-0.0172009
91	-0.0172047
91.2	-0.0172399
91.4	-0.0173061
91.6	-0.0174032
91.8	-0.0175306
92	-0.0176873
92.2	-0.017872
92.4	-0.0180827
92.6	-0.0183176
92.8	-0.0185741
93	-0.0188495
93.2	-0.0191404
93.4	-0.0194434
93.6	-0.0197548
93.8	-0.0200707
94	-0.0203867
94.2	-0.0206988
94.4	-0.0210026
94.6	-0.0212937
94.8	-0.0215681
95	-0.0218218
95.2	-0.0220514
95.4	-0.0222537
95.6	-0.0224259
95.8	-0.0225658
96	-0.0226715
96.2	-0.022742
96.4	-0.0227769
96.6	-0.0227765
96.8	-0.0227412
97	-0.0226724
97.2	-0.0225716
97.4	-0.0224411
97.6	-0.0222833
97.8	-0.0221012
98	-0.0218979
98.2	-0.0216769
98.4	-0.0214418
98.6	-0.0211961
98.8	-0.0209436
99	-0.0206875
99.2	-0.0204313
99.4	-0.0201782
99.6	-0.0199312
99.8	-0.0196929
100	-0.0194659
100.2	-0.0192523
100.4	-0.0190541
100.6	-0.0188729
100.8	-0.0187099
101	-0.0185665
101.2	-0.0184433
101.4	-0.0183411
101.6	-0.0182603
101.8	-0.0182011
102	-0.0181637
102.2	-0.0181482
102.4	-0.0181543
102.6	-0.0181818
102.8	-0.0182303
103	-0.0182994
103.2	-0.0183884
103.4	-0.0184965
103.6	-0.0186227
103.8	-0.0187656
104	-0.0189239
104.2	-0.0190957
104.4	-0.0192794
104.6	-0.0194729
104.8	-0.0196742
105	-0.0198808
105.2	-0.0200905
105.4	-0.0203005
105.6	-0.0205084
105.8	-0.0207113
106	-0.0209067
106.2	-0.021092
106.4	-0.0212646
106.6	-0.0214223
106.8	-0.0215629
107	-0.0216844
107.2	-0.0217854
107.4	-0.0218646
107.6	-0.0219212
107.8	-0.0219547
108	-0.0219648
108.2	-0.0219518
108.4	-0.0219161
108.6	-0.0218587
108.8	-0.0217807
109	-0.0216836
109.2	-0.0215692
109.4	-0.0214393
109.6	-0.0212962
109.8	-0.0211421
110	-0.0209795
110.2	-0.0208106
110.4	-0.0206381
110.6	-0.0204642
