# Time	U	V	U_magnitude
0	-9.0862e-116	4.50211e-115	4.59289e-115
0.2	-5.86268e-08	4.12078e-08	7.16601e-08
0.4	-0.00436379	0.000136592	0.00436592
0.6	-0.0127733	3.9592e-05	0.0127733
0.8	-0.0140511	0.000154339	0.0140519
1	-0.0111481	0.000470322	0.011158
1.2	-0.00884045	0.00070695	0.00886867
1.4	-0.0063711	0.000647389	0.00640391
1.6	-0.0103717	0.000679986	0.0103939
1.8	-0.0149028	0.00111378	0.0149444
2	-0.0169245	0.00153556	0.016994
2.2	-0.0162457	0.0019077	0.0163573
2.4	-0.0126183	0.00205314	0.0127843
2.6	-0.010328	0.0020688	0.0105332
2.8	-0.0123638	0.00223499	0.0125641
3	-0.0162143	0.002574	0.0164173
3.2	-0.0188397	0.00309959	0.0190929
3.4	-0.0183244	0.00385099	0.0187247
3.6	-0.0153221	0.0042207	0.0158928
3.8	-0.0137056	0.00414963	0.01432
4	-0.0148946	0.00411487	0.0154525
4.2	-0.0177186	0.00450348	0.0182819
4.4	-0.020193	0.005466	0.0209197
4.6	-0.0204429	0.00645466	0.0214377
4.8	-0.0187416	0.00689305	0.019969
5	-0.0172325	0.006919	0.0185697
5.2	-0.0175773	0.0069056	0.0188851
5.4	-0.0199545	0.0073005	0.0212481
5.6	-0.022539	0.00831727	0.0240246
5.8	-0.0232395	0.00951499	0.025112
6	-0.0221095	0.0103376	0.0244069
6.2	-0.0209234	0.0105208	0.0234195
6.4	-0.0212841	0.0103718	0.0236767
6.6	-0.0232611	0.0106775	0.0255947
6.8	-0.0253935	0.0117895	0.0279969
7	-0.0263342	0.0132525	0.0294808
7.2	-0.0260115	0.0143233	0.0296943
7.4	-0.0253709	0.0146179	0.0292808
7.6	-0.0255865	0.0145274	0.029423
7.8	-0.0270473	0.0148305	0.0308464
8	-0.0289781	0.0159119	0.0330594
8.2	-0.030246	0.0174729	0.0349303
8.4	-0.0304107	0.0187952	0.0357501
8.6	-0.0301026	0.0193766	0.0357997
8.8	-0.0303855	0.0194322	0.0360678
9	-0.0316585	0.0196888	0.0372815
9.2	-0.0333539	0.0207074	0.0392591
9.4	-0.0346326	0.0223594	0.0412233
9.6	-0.0351688	0.0239285	0.0425373
9.8	-0.0353411	0.0248075	0.0431788
10	-0.0357911	0.0250765	0.0437017
10.2	-0.0368373	0.0253988	0.0447446
10.4	-0.0382722	0.0263955	0.0464917
10.6	-0.0395985	0.0280692	0.0485378
10.8	-0.0404693	0.0298225	0.0502708
