# Time	U	V	U_magnitude
0	-6.14329e-116	3.04337e-115	3.10476e-115
0.2	-1.3631e-08	9.86184e-09	1.68244e-08
0.4	-0.00233286	0.000136231	0.00233684
0.6	-0.0112852	3.62537e-05	0.0112852
0.8	-0.0126455	0.000177158	0.0126468
1	-0.011337	0.000431546	0.0113452
1.2	-0.00848624	0.000852094	0.00852892
1.4	-0.00640014	0.000835071	0.00645439
1.6	-0.0065096	0.000810307	0.00655983
1.8	-0.0111044	0.00102429	0.0111516
2	-0.0138856	0.00156914	0.013974
2.2	-0.014966	0.00193593	0.0150907
2.4	-0.0136188	0.0023353	0.0138176
2.6	-0.0103264	0.00246733	0.0106171
2.8	-0.00883892	0.00251439	0.00918959
3	-0.0109037	0.00268472	0.0112294
3.2	-0.0142955	0.00305046	0.0146174
3.4	-0.0166358	0.0036706	0.017036
3.6	-0.0164872	0.00460296	0.0171177
3.8	-0.0141604	0.00517789	0.0150774
4	-0.0124965	0.00516036	0.0135201
4.2	-0.0130805	0.00505538	0.0140234
4.4	-0.0152299	0.00531324	0.0161301
4.6	-0.0176707	0.00620982	0.01873
4.8	-0.0189326	0.00746529	0.0203513
5	-0.0183734	0.00835803	0.0201851
5.2	-0.0169778	0.00865526	0.0190567
5.4	-0.0163411	0.00864837	0.0184886
5.6	-0.0173403	0.00871804	0.0194086
5.8	-0.0196539	0.00934611	0.0217629
6	-0.0216933	0.0106142	0.0241508
6.2	-0.0221523	0.0120048	0.025196
6.4	-0.0213593	0.0129507	0.0249788
6.6	-0.0206607	0.0131955	0.024515
6.8	-0.0211064	0.0130723	0.0248267
7	-0.0227195	0.0133726	0.0263629
7.2	-0.0245664	0.0145238	0.0285385
7.4	-0.0256967	0.0161922	0.0303728
7.6	-0.0259161	0.0176623	0.0313624
7.8	-0.0256876	0.0184021	0.0315989
8	-0.0257471	0.0185201	0.0317161
8.2	-0.0266134	0.0186862	0.0325184
8.4	-0.0281332	0.0195147	0.0342388
8.6	-0.029624	0.0210877	0.0363631
8.8	-0.0304982	0.022923	0.0381524
9	-0.0307322	0.0243384	0.0392023
9.2	-0.0308583	0.0250231	0.0397289
9.4	-0.0314575	0.0253094	0.040375
9.6	-0.0326231	0.025879	0.0416412
9.8	-0.0339724	0.0272014	0.0435206
10	-0.0350767	0.0291444	0.0456046
10.2	-0.0357946	0.0310817	0.0474059
10.4	-0.036302	0.0324439	0.0486872
10.6	-0.03689	0.0331918	0.0496243
10.8	-0.0377332	0.0338134	0.050667
11	-0.038807	0.0349112	0.0521994
11.2	-0.0399403	0.0367067	0.0542458
11.4	-0.0409404	0.0388751	0.056457
11.6	-0.0417389	0.0408443	0.0583985
11.8	-0.0424362	0.042263	0.0598915
12	-0.0431954	0.043265	0.0611367
12.2	-0.0440976	0.0443441	0.062538
12.4	-0.0450924	0.0459397	0.0643721
12.6	-0.0460725	0.0480879	0.0665967
12.8	-0.0469802	0.0504178	0.0689137
13	-0.0478278	0.0524663	0.0709944
13.2	-0.0486443	0.0540533	0.0727188
13.4	-0.0494439	0.0554072	0.0742608
13.6	-0.0502401	0.0569574	0.0759488
13.8	-0.0510592	0.0589862	0.0780155
14	-0.0519187	0.0614211	0.0804245
14.2	-0.0527968	0.0639232	0.0829077
14.4	-0.0536425	0.0661892	0.085197
14.6	-0.0544227	0.0682071	0.0872585
14.8	-0.0551567	0.0702756	0.0893361
15	-0.0559062	0.0727932	0.0917843
15.2	-0.0567353	0.0759932	0.0948359
15.4	-0.0576705	0.079834	0.0984853
15.6	-0.0586849	0.084113	0.102562
15.8	-0.0597096	0.0886865	0.106914
16	-0.0606751	0.0936124	0.111556
16.2	-0.0615601	0.0991084	0.116671
16.4	-0.0624045	0.105375	0.122467
16.6	-0.0632638	0.112428	0.129006
16.8	-0.0641388	0.120074	0.136131
17	-0.0649456	0.128022	0.143554
17.2	-0.0655612	0.136052	0.151024
17.4	-0.0659059	0.144097	0.158454
17.6	-0.0659889	0.152204	0.165893
17.8	-0.0658794	0.160408	0.17341
18	-0.0656332	0.168628	0.180951
18.2	-0.0652361	0.176657	0.188318
18.4	-0.0646095	0.184244	0.195244
18.6	-0.0636682	0.191201	0.201523
18.8	-0.0623862	0.197453	0.207074
19	-0.0608206	0.203016	0.21193
19.2	-0.0590728	0.207909	0.216138
19.4	-0.0572178	0.212087	0.21967
19.6	-0.0552572	0.215433	0.222407
19.8	-0.0531381	0.217818	0.224206
20	-0.0508217	0.219196	0.22501
20.2	-0.0483422	0.219637	0.224895
20.4	-0.0458021	0.219308	0.22404
20.6	-0.0433094	0.218383	0.222636
20.8	-0.0409122	0.21699	0.220813
21	-0.0385838	0.215201	0.218632
21.2	-0.0362677	0.213079	0.216144
21.4	-0.0339373	0.21073	0.213445
21.6	-0.0316231	0.208311	0.210698
21.8	-0.0293876	0.205999	0.208085
22	-0.0272729	0.203933	0.205749
22.2	-0.0252627	0.202173	0.203745
22.4	-0.0232905	0.2007	0.202046
22.6	-0.021286	0.199457	0.200589
22.8	-0.0192229	0.198401	0.19933
23	-0.0171306	0.197527	0.198268
23.2	-0.0150609	0.196855	0.19743
23.4	-0.0130396	0.196389	0.196821
23.6	-0.0110446	0.196086	0.196396
23.8	-0.00902525	0.195859	0.196067
24	-0.00694566	0.195617	0.19574
24.2	-0.00481323	0.195304	0.195363
24.4	-0.00267125	0.19492	0.194938
24.6	-0.000564554	0.194494	0.194495
24.8	0.00149266	0.194047	0.194053
25	0.00352266	0.193561	0.193593
25.2	0.0055607	0.192984	0.193064
25.4	0.0076234	0.192267	0.192418
25.6	0.00969322	0.191393	0.191638
25.8	0.0117308	0.190392	0.190753
26	0.0137046	0.18931	0.189806
